nom_du_produit,prix,taille_ecran,ram,stockage
"Itel it2173 -1.77"" -Dual sim-Fm -Camera/Vidéo-Wireless Fm-MicroSd-Bleutooth-1000mAh",219.0,1.77,,
Google Pixel 7 5G 128Go 8Go Blanc neige,4490.0,,8,128
Samsung Téléphone Portable Metro B350E : Dual SIM,269.0,2.4,,
Google Pixel 8 Pro 5G 256Go 12Go Bleu,9500.0,,12,256
"Tecno Spark 20 Pro 6,7'' IPS LCD 120Hz (256Go / 8GB jusqu'à 16 Go) Helio G99 - Green",2090.0,6.7,8,256
XIAOMI Redmi 12C (6GB - 128GB) MediaTek G85 - 5000 mAh - 50MP - NFC - Vert,1629.0,,6,128
"ZTE Smartphone 4G 6.6"" Gsm-Dual Sim-13MP-128GB-Ram 8GB-Empreinte Blade A54-Gray",1249.0,6.6,8,128
Samsung galaxy s24 ultra 5g dual sim 12gb / 512 gb (sm-s928bzyqmwd),29499.0,,12,512
"Samsung Galaxy A04e - 6,5” HD+ - 3 / 32GB - 13 MP - Bleu",1199.0,,3,32
"ZTE Smartphone 4G 6.6"" Gsm Blade A54-Dual Sim-13MP-64GB-Ram 8GB-Empreinte-bleu",1149.0,6.6,8,64
"Apple iPhone 15 Pro 256 Go - Titanium Naturel - Ecran OLED 6.1"" inch - 8 Go RAM - Neuf",13700.0,6.1,8,256
"XIAOMI Redmi 13 - 6.79"" ( 128GB + 6GB ) Helio G91 Ultra - 5030mAH/33W - 108MP - Gold",1899.0,6.79,6,128
Samsung Galaxy A3 - 4G - 16 Go - Android 4.4 – Or,2749.0,,16,
"Itel P55 24GB(8+16GB)/256GB, 50MP, 6.6” HD+ 90Hz, 18W - Brilliant Gold",1450.0,6.6,8,256
"Apple iPhone 15 Pro 128 Go - Titane Blue - Ecran OLED 6.1"" Inch - 8 Go RAM - New",11999.0,6.1,8,128
Honor X7A (4GB -128GB) Helio G37 -5000 mAh - 50 MP- NFC-Silver,1590.0,,4,128
"Itel P55 24GB(8+16GB)/128GB, 50MP, 6.6” HD+ 90Hz, 18W - Aurora Blue",1259.0,6.6,8,128
"Apple iPhone 15 Pro ( 512 Go / 8 Go ) - Titane Noir - Bionic A17 Pro - OLED 6.1"" - NEW",14999.0,6.1,8,512
"Apple Galaxy S22 Ultra 6,8"" (8 Gb Ram - 128 Gb) Phantom Black (Noir) - Remis à neuf",6699.0,6.8,8,128
"Samsung Galaxy S23 FE Crème (8 Go Ram / 128 Go) AMOLED 120 Hz 6.4"" inch - 4500 mAh - New",6799.0,6.4,8,128
Le plus petit téléphone portable GSM et écouteur bluetooth 2 en 1,161.0,,,
"XIAOMI Redmi Note 13 Pro 6.6"" (12GB / 512GB ) 200MP Helio G99 Ultra - Coral Purple",3999.0,6.6,12,512
"Samsung Galaxy A05 6.7"" 4G LTE (4GB RAM + 128GB ROM) - 50 Mpx - Noir",1390.0,6.7,4,128
"Honor X8b 6.7"" (512Go / 8GB jusqu'à 16Go) Snapdragon 680 - 108MP/50MP- Glamorous Green",2999.0,6.7,8,512
"Ulefone Armor X11 Pro 8150mAh, 8GB+ 64GB Android 12 Waterproof, 16MP Triple Camera 5.45 inch HD+",1999.0,,4,64
Google Pixel 7 5G 128Go 8Go Noir,4500.0,,8,128
"Samsung Galaxy S23+SM-S916B Noir-8Go/256Go-Infinity-O Dynamic AMOLED-6.6""-Remis à Neuf",7999.0,6.6,8,256
"Itel P38 3G+ 6.6"" - 32Gb ROM 2Go RAM-Double SIM 5000mAh-Galaxy blue",989.0,6.6,2,32
"Apple iPhone 15 128GB Rose Dynamic Island - Retina XDR OLED 6.1"" 6Gb RAM - New",9700.0,6.1,6,128
Infinix Note 30 - (256Go ROM / 8GB jusqu'à 16Go) - Helio G99 - 64MP - Blue,2249.0,,8,256
"Apple iPhone 15 Pro (128 Go / 8 Go RAM) - Titane Naturel - Ecran OLED 6.1"" Inch - New",11999.0,6.1,8,128
"Techno Spark 8C - 6,6'' HD+ - 4G - 2SIM -13Mpx - (3Go+3 Go + 64Go) - 5000 MAh - Noir",1130.0,6.6,3,64
XIAOMI Redmi 10C (4GB - 128GB) Snapdragon 680 - 5000 mAh-50 MP - Gris,1979.0,,4,128
Samsung Galaxy A53 5G - 6.5'' - (8GB - 256GB) -64MP+12MP+5MP+/32MP - Bleu,4870.0,6.5,8,256
Nokia 5310 Dual SIM Blanc/Rouge avec carte mémoire 32 gk,329.99,2.4,,
"XIAOMI Redmi Note 11 Pro 5G Plus - AMOLED FHD+ de 6,67’’(8Go, 256Go) -108MP- Gris",4890.0,6.67,8,256
"Samsung Galaxy A35 - 6.6"" - 8GB RAM + 256GB ROM - Bleu",4499.0,6.6,8,256
"XIAOMI Redmi Note 11S 6,5"" (6Go, 128Go) - 50MP/8MP - Gris",2549.0,6.5,6,128
Honor Magic 5 Pro 5G 512Go 12Go Ram Green vert,8000.0,,12,512
"Apple iPhone 14 128GB Lumière Stellaire 6,1"" Starlight A15 iOS Mode Action 6Gb RAM SOS",9475.0,6.1,6,128
Samsung Tablette Galaxy Tab S8 Ultra 5G 512Go (SM-X906BZAFMWD),18050.0,,,512
"XIAOMI Redmi 13 - 6,79"" - 8+128 - Noir",1999.0,6.79,8,128
XIAOMI Redmi 12C (3GB - 64GB) MediaTek G 85 -5000 mAh-50 MP- NFC - Bleu,1249.0,,3,64
Samsung Galaxy Z Fold 5 12+256GB Cream (Dual Sim) (SM-F946BZEDMWD),24067.0,,12,256
Oukitel WP19 Pro 256Go 8GO Noir,2300.0,,8,256
"Tecno Spark 20C - 6,6'' - (256Go / RAM 4GB jusqu'à 8 Go) 5000MAh - Mystery White",1359.0,6.6,4,256
"XIAOMI Redmi Note 10 Pro - 6.67"" (8Go, 128Go) Amoled 120Hz -108MP - Bronze",2890.0,6.67,8,128
"XIAOMI Redmi Note 12 PRO Plus +5G (8Go, 256Go) Mediatek 1080 - 200MP- Bleu",3990.0,6.67,8,256
"XIAOMI Redmi Note 11 Pro - AMOLED FHD+ de 6,67’’(8Go, 128Go) Mediatek G96 -108MP- Gris",2790.0,6.67,8,128
Nokia 105 Dual SIM Noir 2022,399.0,,,
"Samsung Galaxy A05S 6.7"" 4G LTE (4GB RAM + 128GB ROM) - 50 Mpx - Vert",1690.0,6.7,4,128
"realme C67 6,72"" (256Go ROM / 8GB ) - 5000mAH - 108MP/8MP- Noir",2550.0,6.72,8,256
"Apple iPhone 15 128GB Jaune 6,1"" Yellow Dynamic Island A16 Bionic iOS 48 Mpx 6Gb RAM",10975.0,6.1,6,128
Oppo A76(6Go+128Go) extension RAM+5 Go - 33W - Snapdragon 680 - Noir,2390.0,,6,128
"Apple iPhone 15 256GB Rose 6,1"" Pink Dynamic Island A16 Bionic iOS 48 Mpx 6Gb RAM Siri",11975.0,6.1,6,256
"Honor X9b 5G 6.7"" (8GB jusqu'à 16Go -256GB) -Snapdragon 6 Gen 1-108MP- Sunrise Orange",3699.0,6.7,16,256
realme GT Master RMX3363 256GB+8GB - Voyager Grey,4099.0,,8,256
"Apple iPhone 15 Pro Max 512 Go - Titanium Blue - Ecran OLED 6.7"" inch - 8 Go RAM - New",16700.0,6.7,8,512
"Accent Telephone Star F5-1.77""-Camera /Bluetooth /Micro Sd/ FM /Games 1000Mah-Black",239.0,1.77,,
"realme C55 6,72"" (8Go, 256Go) - 5000mAH - Helio G88 - 64MP/8MP- Noir",2079.0,6.72,8,256
"ZTE Blade A34 - 4G 6.6"" Gsm-64GB-Ram 6 GB RAM(4Go + 2Go)-A34 Deverrouillage facial",1049.0,6.6,4,64
Logicom Telephone L-195 -1.77'' -VGA- Bluetooth 3.0-Micro Sd- Fm-Torche-Double Sim,197.0,1.77,,
"Itel A50 - Smartphone 4G 6.6"" Gsm-64GB-Ram 6 GB RAM(4Go + 2Go)-Deverrouillage facial",998.0,6.6,4,64
"XIAOMI Redmi 13C 6.74"" (256GB - 8GB) Helio G85 - 5000 mAh - 50 MP - Bleu",1999.0,6.74,8,256
"Oppo RENO 8T 5G - 6,7"" AMOLED- (8 +8 Go RAM+256Go ROM)Snapdragon 695 -108 MP- Noir",4390.0,6.7,8,256
"Oppo F11 Pro Avengers Edition limitée 6.5"" (6 Go,128Go) 48MP+5MP/16MP- Bleu espace",4599.0,6.5,6,128
"Infinix Note 40 6.7"" (256Go ROM / 8GB jusqu'à 16Go) Helio G99 - 108MP/32MP - Titan Gold",2890.0,6.7,8,256
Samsung Galaxy A34 5G - 6.6'' - (8GB - 256GB) -50MP+12MP+5MP+/32MP - Noir,3190.0,6.6,8,256
Infinix hot 40i,1600.0,6.5,,
"Honor Smartphone X7a -6,74'' -4G -Ram4GB Rom128 GB-50MP -6000mAh- titanium silver",2099.0,6.74,4,128
"Infinix Smart 8 6.6"" (128GB / 4GB jusqu'à 8Go ) 5000mAH - IPS LCD 90Hz - Gold",1260.0,6.6,4,128
XIAOMI Redmi 10C (4GB -128GB) Snapdragon 680 -5000 mAh-50 MP- NFC-Gray+Kit+ Band,1560.0,,4,128
"Tecno Spark 20C - 6,6'' - (256Go / RAM 4GB jusqu'à 8 Go) 5000MAh - Gravity Black",1399.0,6.6,4,256
"Samsung Galaxy A05 6.7"" 4G LTE (4GB RAM + 128GB ROM) - 50 Mpx - Vert",1350.0,6.7,4,128
"Shtel SM2409, Téléphone portable Dual SIM",129.0,,,
Oppo A78 (8Go+ 8Go Ram + 128Go) - 67W - Snapdragon 680- 5000 mAh- Noir,2650.0,,8,128
Vivo V27 5G (8 Go+ 256 Go- 4 600 mAh (TYP)- Noble Black),4799.0,,8,256
XIAOMI Redmi 13C (8GB - 256GB) - 5000 mAh - 50MP - NFC - Bleu,1849.0,,8,256
"Nokia XR20 6.67"" 5G (6Go, 128Go) 48MP+13MP/8MP Android - Gris",5990.0,6.67,6,128
Vivo Y16 - 4 Go RAM + 64 Go ROM - Stellar Black,1499.0,,4,64
"XIAOMI Redmi 13 - 6,79"" - 8+256 - Gold",2199.0,6.79,8,256
Samsung Tablette Galaxy Tab S9 Ultra 12GB_256GB (SM-X916BZAAMWD),17712.0,,12,256
"Apple iPhone 15 Plus 128GB Jaune 6,7"" Yellow Dynamic Island A16 Bionic 48 Mpx 6Gb RAM",11975.0,6.7,6,128
"Itel S24 – 6.6"" (256GB / RAM 8GB up to 16Gb) - Helio G91 - 108MP - NFC - Dawn White",2166.0,6.6,8,256
Oppo A17K (3Go+64Go) - 5000mAh IPX4 résistance à l'eau - Blue,1550.0,,3,64
"Fonecom F13 Dual Sim, Mémoire 32 Go, Bluetooth,",155.5,,,32
Samsung Galaxy S23 Plus 8Go Ram 256 Go Rom - Cream,9799.0,6.1,8,256
XIAOMI Redmi 13C (8GB - 256GB) - 5000 mAh - 50MP - NFC - Vert,1849.0,,8,256
"Samsung A05 6.7"" (128GB - 4GB) IPS LCD - 5000 mAh - 50MP- Noir",1449.0,6.7,4,128
OnePlus 12 5G 256Go 12Go Ram Snapdragon 8 Gen3 Noir,9300.0,,12,256
"XIAOMI Redmi Note 12 PRO Plus +5G (8Go, 256Go) Mediatek 1080 -200MP- Bleu",3990.0,6.67,8,256
"Samsung Galaxy Z Flip5 - 6.7"" - 8GB + 256GB - Mint",9199.0,6.7,8,256
"Infinix Note 40 6.7"" (256Go ROM / 8GB jusqu'à 16Go) Helio G99 - 108MP/32MP - Black",2890.0,6.7,8,256
Samsung Galaxy A54 5G - 6.5'' - (8GB - 256GB) -50MP+12MP+5MP+/32MP - Noir,4870.0,6.5,8,256
Vivo Y16 - 4 Go RAM + 64 Go ROM - Drizzling Gold,1499.0,,4,64
"Ulefone Armor 12 Ulefone Téléphone robuste 8GB+128GB, 48MP Camera 6.52"" HD+, 5180mAh",4400.0,6.52,8,128
"Samsung Galaxy A05 - 6.7"" - 4GB + 64GB - Vert clair",1699.0,6.7,4,64
Infinix Hot 30i (8+8 GB Ram / 128GB ) - Helio G37 -13 MP -Dual Sim -5000 mAh- GOLD,1390.0,,8,128
"Apple iPhone 14 128GB Rouge 6,1"" Red A15 iOS Mode Action & SOS 6Gb RAM Siri Garantie",9475.0,6.1,6,128
Oppo A76(4Go+128Go) extension RAM+5 Go - 33W - Snapdragon 680- 5000 mAh- Bleu,1800.0,,4,128
"Samsung A55 6,6'' - 8GB RAM + 256GB ROM – LEMON",5490.0,6.6,8,256
"XIAOMI Redmi Note 13 6,6"" Amoled 120Hz (6Go, 128Go) Snapdragon 685 (6 nm) - 108MP- Bleu",2349.0,6.67,6,128
"XIAOMI Redmi Note 13 6,6"" Amoled 120Hz (8Go, 256Go)Snapdragon 685 (6 nm) - 108MP- Green",2699.0,6.67,8,256
XIAOMI Redmi 12C (4GB - 128GB) MediaTek G 85 -5000 mAh-50 MP- NFC - Bleu,1449.0,,4,128
Samsung Galaxy A73 5G - 6.5'' - (8GB - 256GB) -64MP+12MP+5MP+/32MP,5680.0,6.5,8,256
Samsung Tablette Galaxy Tab S9 Ultra 12GB_512GB (SM-X916BZAEMWD),20741.0,,12,512
"Honor X7 - 6,74'' - 4G - (4Go - 128 Go) - 48 MP - 5000 mAh - Noir",2299.0,6.74,4,128
Samsung Galaxy A14 6.6'' LTE 4+64GB Argent,1549.0,6.6,4,64
"Samsung Galaxy A34 - 6.6"" - 8GO RAM + 128GB ROM - 5000 mAh - Silver",3499.0,6.6,8,128
Nokia Téléphone 5310 -Dual Sim (2020) Black Rouge,799.0,,,
Samsung Galaxy A04S - 4G - 6.5’’- 4Go / 64Go - 50MP - 5000mAh - Noir,1599.0,6.5,4,64
Vivo Y35 - 8 Go RAM + 128 Go ROM - Agate Black,2399.0,,8,128
"Apple iPhone 15 Plus 128GB Vert 6,7"" Green Dynamic Island A16 Bionic 48 Mpx 6Gb RAM",11975.0,6.7,6,128
"Vivo Y03 6,5"" (64Go ROM / 4GB jusqu'à 8Go) - 5000mAH - Helio G85 - Gem Green",1290.0,6.5,4,64
Samsung Galaxy Z Fold 5 12+256GB Phantom Black (Dual Sim) (SM-F946BZKDMWD),23769.0,,12,256
"Itel P55 6.6"" IPS LCD 90Hz - 128GB ROM / 24GB RAM( 8+16) - 5000mAh - Moonlit Black",1239.0,6.6,8,128
"XIAOMI Redmi 12 Amoled 6,79″ (8Go, 256Go) MediaTEK HELIO G88 - 50MP- SILVER",1999.0,6.79,8,256
Oppo A17K (3Go+64Go) - 5000mAh IPX4 résistance à l'eau - Navy Blue,1499.0,,3,64
ZTE A54,1249.0,,8,
"Samsung A55 6,6'' - 8GB RAM + 256GB ROM – Bleu",5490.0,6.6,8,256
Nokia 110 Telephone 1.77 inches - microSDHC - FM radio - Charcoal,299.0,,,
"Oppo RENO 8T 5G - 6,7"" AMOLED- (8 +8 Go RAM+256Go ROM)- 108 MP-Snapdragon 695 -Gold",4390.0,6.7,8,256
Samsung galaxy a15 light blue 8go 256go (sm-a155flbimwd),2993.0,,,256
Infinix Hot 12 Play X6816 128 Rom 4 Ram - Racing Black,1705.0,6.82,4,128
"Samsung Galaxy A35 - 6.6"" - 8GB RAM + 256GB ROM - Violet",4499.0,6.6,8,256
"XIAOMI Redmi Note 10 Pro - 6.67"" (256Go, 8Go) 108MP/8MP - Onyx Gray",2897.0,6.67,8,256
XIAOMI Redmi 12C (6GB -128GB) MediaTek G 85 -5000 mAh-50 MP- NFC - Gris,1599.0,,6,128
"Apple iPhone 15 128GB (Blue) Bleu Dynamic Island - 6.1"" 6GB RAM Remis à neuf",8299.0,6.1,6,128
Samsung Galaxy A24 6+128GB 6.5” FHD+ Super AMOLED 5000 mAh - Green,2699.0,6.5,6,128
Infinix SMART 6 X6511B 32+2 - Polar black,1125.0,6.6,2,32
"Itel S24 – 6.6"" (256GB / RAM 8GB up to 16Gb) - Helio G91 - 108MP - NFC - Starry Black",2099.0,6.6,8,256
XIAOMI Redmi 13C (8GB - 256GB) - 5000 mAh - 50MP - NFC - Noir,1849.0,,8,256
"Apple iPhone 14 128GO Jaune 6,1"" Yellow A15 IOS Mode Action & SOS 6Gb RAM Garantie",9475.0,6.1,6,128
ALINO TELEPHONE CELLULAIRE A2171S DUAL SIM RADIO,189.0,,,
"Samsung A05s 6.7"" (4GB - 128GB) IPS LCD - Snapdragon 680 - 5000 mAh - 50MP- Noir",1849.0,6.7,4,128
"Samsung A05 6.7"" (128GB - 4GB) IPS LCD - 5000 mAh - 50MP- Green",1449.0,6.7,4,128
"Oukitel Smartphone C33, 8 Go + 256 Go, 6.8 "", Caméra 50MP, Android 13, Octa Core,5150mAh",1950.0,6.8,8,256
"Apple iPhone 15 Plus 256GB Vert 6,7"" Green Dynamic Island A16 Bionic 48 Mpx 6Gb RAM",12975.0,6.7,6,256
"Nokia 110 - 2.4"" - Dual Sim - Noir- Camera - LED LAMPE - FM- Noir- Original",285.0,2.4,,
"Samsung Galaxy A25 5G 6.3"" (6GB RAM + 128GB ROM) - 50 Mpx - Jaune",2890.0,6.3,6,128
"Samsung Galaxy Z Fold 3 - 7,6"" - 256 GB + 12 GB - Noir",7496.0,7.6,12,256
"Itel A70 8GB (3+5GB)/64GB, HD+ - 13MP, 6.6” - 5000mAh, Type C - Field green",959.0,6.6,3,64
"Samsung Galaxy A04 E 6.6"" 4G LTE (3GB RAM + 32GB ROM) - 13 Mpx - Noir",1199.0,6.6,3,32
Nokia phone 5310 noir avec carte mémoire 32gk gratuit,290.0,,,
"XIAOMI Redmi Note 13 6,6"" Amoled 120Hz (8Go, 256Go)Snapdragon 685 (6 nm) - 108MP- Noir",2699.0,6.67,8,256
Infinix HOT 11S X6812 50MP + 2MP + 8MP - 128+4G - Polar black,1730.0,,4,128
Samsung Galaxy A04s Rom 64GB RAM 4GB Noir,1400.0,,4,64
Samsung S24 Galaxy 12GB+ 512 GB Dual Sim - Onyx Black (SM-S926BZKCMWD),17978.0,6.7,12,512
Google pixel 8 pro 5g 256Go 12Go Black,9500.0,,12,256
Support Téléphone Universal Flexible Rotatif 360°- Bleu,53.0,,,
XIAOMI Redmi 12C (6GB -128GB) MediaTek G 85 -5000 mAh-50 MP- NFC - Bleu,1599.0,,6,128
"Apple iPhone 15 Plus 256GB Jaune 6,7"" Yellow Dynamic Island A16 Bionic 48 Mpx 6Gb RAM",12975.0,6.7,6,256
"Samsung Galaxy A25 - 6.3"" 8GB+256GB - Bleu",3490.0,6.3,8,256
Infinix HOT 40i - IPS LCD 90Hz (128Go ROM / 4GB jusqu'à 8 Go) - 50MP - Green,1390.0,,8,128
"Tecno POVA 2 - 6GB + 128GB · 6.9"" FHD+ ·7000mAh · Quad Caméra Arrière 48MP",2100.0,6.9,6,128
Infinix Hot 20i (4GB Ram / 128GB ) - Helio G25 -13 MP -Dual Sim -5000 mAh- Bleu,1350.0,,4,128
Samsung a15 128/4,1649.0,6.5,4,128
Accent Fast 17,849.0,,,
"Itel it2163 - DOUBLE SIM - 1.77"" - Torche - Radio FM - 1000mAh - Noir",149.0,1.77,,
XIAOMI Redmi 12C (3GB - 64GB) - 5000 mAh-50 MP- NFC - Vert,1249.0,,3,64
"Oppo A83 - 5.7"" - 64GB - 4GB - 13MP Camera - Dual SIM - 4G - Rouge",2399.0,5.7,4,64
Samsung Tablette Galaxy Tab S9FE 6+128GB Silver (SM-X516BZSAMWD),7789.0,,6,128
Samsung Galaxy A54 5G - 6.5'' - (8GB - 256GB) -50MP+12MP+5MP+/32MP -White,4870.0,6.5,8,256
"Tecno Spark 20C - 6,6'' - (256Go / RAM 4GB jusqu'à 8 Go) 5000MAh - Mystery White",1399.0,6.6,4,256
"Fonecom F07 Écran 1,77 ; Caméra, Radio FM; La carte Micro SD 32 Go ; Dual SIM.",155.5,,,32
Samsung Galaxy Z Fold4 Pliable Dual SIM -12Gb Ram + Rom 256Gb 4400 mAh-Phantom Black,14900.0,,12,256
"Samsung Smartphone A55 Awesome Citron 6,6"" Octa Core 8Go 256Go Android 5G (SM-A556EZYWMWD)",8937.0,6.6,8,256
"XIAOMI Redmi 13 - 6.79"" ( 256GB / 8GB jusqu'à 16Go ) Helio G91 Ultra - 108MP - Gold",2270.0,6.79,8,256
"Tecno Spark GO 2024 - 6,6'' HD+ - LCD IPS - (RAM 4GB+4Go+ 128Go) - 5000 MAh - Blanc",1299.0,6.6,4,128
Vivo Y22 (ROM:64Go et RAM: 4Go ) Starlit Blue,1599.0,,4,64
"Samsung Galaxy A35 - 6.6"" - 8GB RAM + 256GB ROM - Noir",4399.0,6.6,8,256
"Honor X6a 6.5"" (4GB -128GB) LCD 90Hz - 5200 mAh - 50MP- Cyan",1449.0,6.5,4,128
XIAOMI Redmi 12C (4GB - 128GB) MediaTek G 85 -5000 mAh-50 MP- NFC - Gris,1449.0,,4,128
realme Narzo 50MP- 4G RAM/128 Go- 6.5″- 5000 mAh-Bleu Velocé,2350.0,6.5,4,128
XIAOMI Redmi Note 11 Pro - 8 Go RAM + 128 Go ROM - Graphite Gray,2949.0,,8,128
Vivo V27 5G (8 Go+ 256 Go- 4 600 mAh (TYP)- Magic Blue),4799.0,,8,256
"Samsung A05 6.7"" (128GB - 4GB) IPS LCD - 5000 mAh - 50MP- Blanc",1449.0,6.7,4,128
Samsung Galaxy A04S - 4G - 6.5’’- 4Go / 64Go - 50MP - 5000mAh - Rose + Écouteur + Watch,1699.0,6.5,4,64
"Itel A50 6.6"" HD+ 64GB ROM / 6GB RAM( 2+4) - 5000mAh - Lime Green",990.0,6.6,2,64
"Samsung Galaxy A03 (4G Ram 64G Rom) 6.5"" 5000 mAh - 48MP - Dual Sim-Bleu",1440.0,6.5,4,64
"XIAOMI Redmi 13 - 6,79"" - 6+128 - Bleu",1849.0,6.79,6,128
Oppo A78 (8Go+ 8Go Ram + 128Go) - 67W - Snapdragon 680- 5000 mAh- Vert,2650.0,,8,128
"Tecno Spark 8C -6,6'' HD+ -Dual Sim(RAM 3GB+3 Go+64 Go)-5000 MAh-Noir",1090.0,6.6,3,64
"TCL Smartphone 30 SE Gris ( 4GB RAM, 128 stockage)",1990.0,,4,128
Samsung Galaxy A73 5G - 6.5'' - (8GB - 256GB) -64MP+12MP+5MP+/32MP,5900.0,6.5,8,256
"Samsung Galaxy A05 - 6.7"" - 4GB + 64GB - Silver",1699.0,6.7,4,64
"Itel S24 – 6.6"" (256GB / RAM 8GB up to 16Gb) - Helio G91 - 108MP - NFC - Dawn White",2099.0,6.6,8,256
"Samsung Galaxy M13 - 6.6"" - 4GB RAM + 64 GB ROM - 50 MP- Light Bleu",1390.0,6.6,4,64
"XIAOMI Redmi Note 13 Pro 6.6"" (256GB / 8GB ) 200MP- Helio G99 Ultra - Midnight Black",3499.0,6.6,8,256
XIAOMI Redmi 12C (6GB - 128GB) MediaTek G85 - 5000 mAh - 50MP - NFC - Vert,1629.0,,6,128
"mini phone /Bluetooth intégrée / 2 carte sim/passer un appel, écouter de la musique",199.0,,,
"Nokia Dual Sim Keypad Mobile, radio FM sans fil, Bluetooth, lecteur MP3",289.0,,,
Honor X7A (4GB -128GB) Helio G37 -5000 mAh - 50 MP- NFC-Noir,1790.0,,4,128
"realme C33 4G 6,5"" (4Go, 128Go) - 5000mAH - 50MP/5MP -NOIR",1680.0,6.5,4,128
Samsung Galaxy A54 5G 8+256GB white (Dual Sim) (SM-A546EZWDMWD),5258.0,,8,256
"Itel P55 24GB(8+16GB)/256GB, 50MP, 6.6” HD+ 90Hz, 18W - Astral Purple",1450.0,6.6,8,256
Samsung Galaxy A05 4G Dual Sim 64GB,1499.0,,3,64
"XIAOMI Redmi Note 13 Amoled 120Hz 6,67″(8Go, 128Go) Snapdragon 685 - 108MP/8 MP- Bleu",2390.0,6.67,8,128
"Oppo RENO 11F AMOLED - 6,7""(8 +8 Go RAM+256Go ROM) Mediatek -64 MP - Bleu",4190.0,6.7,8,256
Samsung Galaxy A54 5G (Dual Sim) (SM-A546EZKCMWD),5716.0,,8,256
"Samsung Galaxy A35 - 6.6"" - 8GB RAM + 256GB ROM - Jaune",4499.0,6.6,8,256
"Samsung Galaxy Z Fold 3 - 7,6"" - 256 GB + 12 GB - Silver",7496.0,7.6,12,256
Vivo X80 lite 5G 256Go 8Go Noir,3200.0,,8,256
XIAOMI Redmi 10C (4GB -64GB) Snapdragon 680 -5000 mAh-50 MP- NFC-Vert,1335.0,,4,64
"Infinix Note 30 - 6.7""-(8 Go-256 Go) ram+ jusqu'a 8G AMOLED -Helio G 99 - 64 MP - Noir",2290.0,6.7,8,256
"Samsung Tele B310E - 2"" - Dual Sim - Radio",269.0,2,,
"Iku X3 - 6.52"" (6 Go -128 Go) Dual Sim-4G - 48MP- 16MP - Mediatek - 5000 mAh- Bleu",1299.0,6.52,6,128
Samsung Galaxy A04s Rom 64GB RAM 4GB Blanc,1499.0,,4,64
"Samsung A05 6.7"" (128GB - 6GB) IPS LCD - 5000 mAh - 50MP- Blanc",1699.0,6.7,6,128
"XIAOMI Redmi Note 11 Pro - AMOLED FHD+ de 6,67’’(8Go, 128Go)G96 -108MP- Gris +Kit+Band",2990.0,6.67,8,128
Vivo Y03,1280.0,,,64
Honor X6A (4GB -128GB) Helio G35 -5200 mAh - 50 MP- NFC- SILVER,1459.0,,4,128
"realme C67 6,72"" (256Go ROM / 8GB ) - 5000mAH - 108MP/8MP-VERT",2550.0,6.72,8,256
"Samsung Galaxy A05s - 6,7"" FHD+ - 4GB+128GB - 50 MP - Noir + Band + Écouteur",2199.0,6.7,4,128
"TCL Smartphone 30 SE Bleu ( 4GB RAM, 128 stockage)",1990.0,,4,128
ipro telephone A10mini 1.8'' Lcd -VGA-Dual Sim-Bluetooth-Micro Sd-Werless Fm,195.0,1.8,,
BM10 Mini téléphone portable double carte sim,150.0,,,
"XIAOMI Redmi 13 - 6.79"" ( 128GB + 8GB ) Helio G91 - 5030mAH - 108MP - Bleu",2099.0,6.79,8,128
Samsung galaxy s24+ 5g dual sim 256 gb onyx black (sm-s926bzkbmwd),16181.0,6.7,12,512
Telefunken MOBILE PHONE TF703,179.0,,,
"X-GO SPARK Mini téléphone portable, écran 1.77 "", MP3 MP4, radio FM Bluetooth",199.0,,,
"Nokia 3310 Dual SIM MP3 Player, Wireless FM Radio and Rear Camera,Blue",275.0,,,
Samsung Galaxy A04S - 4G - 6.5’’- 4Go / 64Go - 50MP - 5000mAh - Rose,1599.0,6.5,4,64
"Infinix Smart 8 6.6"" (128GB / 4GB jusqu'à 8Go ) 5000mAH - IPS LCD 90Hz - Blanc",1199.0,6.6,4,128
XIAOMI Redmi 13C (6GB -128GB) MediaTek G 85 -5000 mAh-50 MP- NFC - Bleu,1699.0,,6,128
"Samsung Galaxy A04e - 6,5” HD+ - 3 / 32GB - 13 MP - Bleu",1199.0,6.5,3,32
Samsung Galaxy A05 4G Dual Sim 64GB,1499.0,,4,64
"Logicom Le Posh 182 Le mobile 1,77"" du quotidien",135.0,,,
"XIAOMI Redmi 10A 6.53"" (4Go, 128 Go) Android 13MP /5MP - GRIS",1399.0,6.53,4,128
"Samsung Galaxy A05 - 6.7"" - 4G + 64GB - Noir",1249.0,6.7,4,64
Samsung galaxy a15 light blue 4go 128 go (sm-a155flbdmwd),3021.0,,4,128
"Apple iPhone 15 256GB Vert 6,1"" Green Dynamic Island A16 Bionic iOS 48 Mpx 6Gb RAM",11975.0,6.1,6,256
"Vivo Y02S (3- 32) 6,51 Pouces - 5000mAh- Double Sim- Fast Charge 18W - Bleu",1220.0,6.51,3,32
Nokia Nouveau téléphone 105,199.0,,,
Telefunken Telephone Classy Double Sim Camera FM Multi media bluetooth Micro Sd,197.0,1.77,,
Nokia Nouveau téléphone 105,235.0,,,
realme 9i (6GB Ram + 128GB Rom) Snapdragon 680-50MP- 5000mAh-33W - Black,2190.0,,6,128
"Infinix Smart 8 6.6"" (128GB / 4GB jusqu'à 8Go ) 5000mAH - IPS LCD 90Hz - Vert",1240.0,6.6,4,128
Vivo Y03,1289.0,,,
